#!,Workbook:,Custom,Custom
#!,Deze gegevens afspelen: open het oorspronkelijke Excel-werkmapbestand, klik op de knop *Gegevensbestand importeren* op het lint *Data Streamer* en navigeer naar dit bestand.,
#!,Ga naar http://aka.ms/hackingstem/ voor meer informatie,,
19372,36414,,
19370,36410,,
19347,36415,,
19357,36401,,
19357,36398,,
19336,36398,,
19340,36381,,
19341,36381,,
19348,36413,,
19370,36423,,
19374,36414,,
19387,36401,,
19372,36421,,
19374,36427,,
19373,36414,,
19354,36404,,
19355,36400,,
19340,36431,,
19360,36400,,
19359,36403,,
19341,36393,,
19359,36404,,
19365,36399,,
19365,36377,,
19345,36389,,
19349,36395,,
19394,36407,,
19371,36414,,
19370,36422,,
19350,36427,,
19366,36410,,
19366,36408,,
19374,36393,,
19367,36406,,
19360,36416,,
19361,36403,,
19360,36406,,
19358,36402,,
19391,36413,,
19382,36427,,
19374,36429,,
19368,36445,,
19377,36434,,
19374,36427,,
19372,36392,,
19362,36410,,
19359,36410,,
19372,36402,,
19359,36402,,
19361,36405,,
19362,36374,,
19350,36405,,
19359,36397,,
19374,36380,,
19356,36392,,
19357,36412,,
19380,36386,,
19370,36412,,
19364,36411,,
19360,36428,,
19363,36419,,
19364,36418,,
19367,36427,,
19370,36408,,
19375,36422,,
19355,36404,,
19368,36425,,
19370,36421,,
19340,36399,,
19358,36405,,
19367,36412,,
19339,36414,,
19357,36401,,
19361,36401,,
19363,36431,,
19368,36423,,
19373,36422,,
19338,36413,,
19334,36376,,
19337,36374,,
19389,36454,,
19403,36449,,
19396,36450,,
19357,36401,,
19350,36383,,
19339,36385,,
19341,36359,,
19326,36366,,
19325,36367,,
19362,36372,,
19353,36394,,
19350,36399,,
19357,36420,,
19375,36428,,
19379,36425,,
19358,36400,,
19359,36404,,
19363,36409,,
19320,36398,,
19336,36378,,
19336,36377,,
19364,36366,,
19349,36393,,
19359,36397,,
19334,36398,,
19338,36380,,
19346,36391,,
19387,36443,,
19379,36426,,
19372,36422,,
19369,36419,,
19343,36391,,
19357,36394,,
19340,36384,,
19346,36392,,
19350,36391,,
19351,36398,,
19362,36409,,
19377,36420,,
19336,36410,,
19369,36410,,
19374,36429,,
19348,36423,,
19374,36425,,
19384,36425,,
19342,36423,,
19372,36418,,
19366,36405,,
19347,36360,,
19331,36357,,
19317,36354,,
19357,36428,,
19380,36425,,
19385,36436,,
19357,36427,,
19359,36395,,
19343,36386,,
19298,36362,,
19308,36345,,
19305,36347,,
19362,36370,,
19356,36400,,
19372,36422,,
19446,36465,,
19453,36520,,
19479,36541,,
19215,36249,,
19278,36299,,
19299,36327,,
19385,36420,,
19404,36446,,
19416,36465,,
19415,36458,,
19414,36474,,
19431,36488,,
19420,36494,,
19435,36494,,
19435,36489,,
19430,36447,,
19405,36457,,
19384,36437,,
19387,36394,,
19366,36411,,
19350,36393,,
19341,36411,,
19353,36397,,
19352,36401,,
19400,36414,,
19386,36444,,
19387,36439,,
19388,36404,,
19389,36437,,
19387,36439,,
19376,36390,,
19373,36423,,
19372,36415,,
19399,36417,,
19395,36440,,
19392,36439,,
19405,36473,,
19400,36456,,
19399,36451,,
19417,36469,,
19422,36466,,
19415,36469,,
19392,36443,,
19399,36449,,
19399,36448,,
19378,36407,,
19367,36405,,
19365,36404,,
19347,36379,,
19347,36395,,
19345,36390,,
19375,36433,,
19373,36415,,
19373,36421,,
19376,36415,,
19382,36436,,
19374,36420,,
19380,36415,,
19358,36401,,
19360,36402,,
19379,36420,,
19367,36419,,
19371,36426,,
19341,36412,,
19357,36412,,
19360,36408,,
19388,36397,,
19380,36424,,
19377,36429,,
19407,36420,,
19390,36447,,
19390,36446,,
19395,36391,,
19371,36406,,
19359,36404,,
19375,36379,,
19362,36411,,
19365,36418,,
19386,36384,,
19382,36425,,
19384,36427,,
19409,36420,,
19388,36439,,
19390,36439,,
19374,36446,,
19385,36429,,
